presolving:
(round 1, fast)       1435473 del vars, 5727 del conss, 0 add conss, 2406 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 169, exhaustive) 1435474 del vars, 5727 del conss, 0 add conss, 77295 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 170, exhaustive) 1435474 del vars, 5727 del conss, 0 add conss, 77355 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 171, exhaustive) 1435474 del vars, 5727 del conss, 0 add conss, 77412 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 172, exhaustive) 1435474 del vars, 5728 del conss, 0 add conss, 77468 chg bounds, 1 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 173, exhaustive) 1435475 del vars, 5728 del conss, 0 add conss, 77518 chg bounds, 1 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
   (10.7s) probing: 1000/4526 (22.1%) - 0 fixings, 0 aggregations, 297312 implications, 0 bound changes
   (10.7s) probing: 1001/4526 (22.1%) - 0 fixings, 0 aggregations, 297677 implications, 0 bound changes
   (10.7s) probing aborted: 1000/1000 successive useless probings
   (10.8s) symmetry computation started: requiring (bin +, int -, cont +), (fixed: bin -, int +, cont -)
   (10.8s) no symmetry present
presolving (174 rounds: 174 fast, 19 medium, 18 exhaustive):
 1435475 deleted vars, 5728 deleted constraints, 0 added constraints, 77566 tightened bounds, 0 added holes, 1 changed sides, 0 changed coefficients
 297677 implications, 0 cliques
presolved problem has 6927 variables (4526 bin, 0 int, 0 impl, 2401 cont) and 12648 constraints
  12648 constraints of type <linear>
Presolving Time: 9.41

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
 11.5s|     1 |     0 |  8335 |     - |  3186M |   0 |6927 |  12k|  12k|   0 |  0 |   4 |   0 | 4.143375e+03 |      --      |    Inf | unknown
 12.9s|     1 |     0 | 19814 |     - |  3235M |   0 |6927 |  12k|  12k|   1 |  1 |   4 |   0 | 4.143375e+03 |      --      |    Inf | unknown
 13.1s|     1 |     0 | 20750 |     - |  3237M |   0 |6927 |  12k|  12k|   2 |  3 |   4 |   0 | 4.143375e+03 |      --      |    Inf | unknown
 13.5s|     1 |     0 | 20876 |     - |  3238M |   0 |6927 |  12k|  12k|   7 |  4 |   4 |   0 | 4.143375e+03 |      --      |    Inf | unknown
 18.2s|     1 |     0 | 36326 |     - |  3247M |   0 |6927 |  12k|  12k|  74 |  5 |   4 |   0 | 4.143375e+03 |      --      |    Inf | unknown
 23.2s|     1 |     0 | 49723 |     - |  3250M |   0 |6927 |  12k|  12k| 133 |  6 |   4 |   0 | 4.143375e+03 |      --      |    Inf | unknown
 23.9s|     1 |     0 | 50044 |     - |  3251M |   0 |6927 |  12k|  12k| 149 |  7 |   4 |   0 | 4.143375e+03 |      --      |    Inf | unknown
 24.1s|     1 |     0 | 50425 |     - |  3253M |   0 |6927 |  12k|  12k| 151 |  8 |   4 |   0 | 4.143375e+03 |      --      |    Inf | unknown
 24.2s|     1 |     0 | 50426 |     - |  3254M |   0 |6927 |  12k|  12k| 152 |  9 |   4 |   0 | 4.143375e+03 |      --      |    Inf | unknown
 24.2s|     1 |     0 | 50427 |     - |  3256M |   0 |6927 |  12k|  12k| 153 | 10 |   4 |   0 | 4.143375e+03 |      --      |    Inf | unknown
 24.3s|     1 |     0 | 50428 |     - |  3257M |   0 |6927 |  12k|  12k| 154 | 11 |   4 |   0 | 4.143375e+03 |      --      |    Inf | unknown
 24.3s|     1 |     0 | 50454 |     - |  3258M |   0 |6927 |  12k|  12k| 155 | 12 |   4 |   0 | 4.143375e+03 |      --      |    Inf | unknown
r24.6s|     1 |     0 | 50588 |     - |intshift|   0 |6927 |  12k|  12k| 155 | 14 |   4 |   0 | 4.143375e+03 | 4.193875e+03 |   1.22%| unknown
L24.9s|     1 |     0 | 50672 |     - |    rens|   0 |6927 |  12k|  12k| 155 | 14 |   6 |   0 | 4.143375e+03 | 4.178375e+03 |   0.84%| unknown
 25.3s|     1 |     0 | 50672 |     - |  3306M |   0 |6927 |  10k|  12k| 155 | 14 |   6 |   0 | 4.143375e+03 | 4.178375e+03 |   0.84%| unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
 25.4s|     1 |     0 | 50710 |     - |  3323M |   0 |6927 |  10k|  12k| 163 | 15 |   6 |   0 | 4.143375e+03 | 4.178375e+03 |   0.84%| unknown
 25.4s|     1 |     0 | 50731 |     - |  3324M |   0 |6927 |  10k|  12k| 164 | 16 |   6 |   0 | 4.143375e+03 | 4.178375e+03 |   0.84%| unknown
(run 1, node 1) restarting after 893 global fixings of integer variables

(restart) converted 162 cuts from the global cut pool into linear constraints

presolving:
(round 1, fast)       2292 del vars, 1470 del conss, 0 add conss, 50 chg bounds, 3487 chg sides, 6959 chg coeffs, 0 upgd conss, 297677 impls, 11 clqs
(round 2, fast)       2327 del vars, 1595 del conss, 0 add conss, 109 chg bounds, 3517 chg sides, 7233 chg coeffs, 0 upgd conss, 297677 impls, 11 clqs
(round 3, fast)       2341 del vars, 1649 del conss, 0 add conss, 152 chg bounds, 3533 chg sides, 7395 chg coeffs, 0 upgd conss, 297677 impls, 11 clqs
(round 4, fast)       2357 del vars, 1700 del conss, 0 add conss, 195 chg bounds, 3551 chg sides, 7558 chg coeffs, 0 upgd conss, 297677 impls, 11 clqs
(round 5, fast)       2373 del vars, 1751 del conss, 0 add conss, 235 chg bounds, 3570 chg sides, 7698 chg coeffs, 0 upgd conss, 297677 impls, 11 clqs
(round 6, fast)       2388 del vars, 1796 del conss, 0 add conss, 270 chg bounds, 3580 chg sides, 7836 chg coeffs, 0 upgd conss, 297677 impls, 11 clqs
(round 7, fast)       2401 del vars, 1830 del conss, 0 add conss, 299 chg bounds, 3588 chg sides, 7925 chg coeffs, 0 upgd conss, 297677 impls, 11 clqs
(round 8, fast)       2412 del vars, 1863 del conss, 0 add conss, 323 chg bounds, 3595 chg sides, 8007 chg coeffs, 0 upgd conss, 297677 impls, 11 clqs
(round 9, fast)       2420 del vars, 1884 del conss, 0 add conss, 341 chg bounds, 3604 chg sides, 8058 chg coeffs, 0 upgd conss, 297677 impls, 11 clqs
(round 10, fast)       2425 del vars, 1896 del conss, 0 add conss, 355 chg bounds, 3604 chg sides, 8120 chg coeffs, 0 upgd conss, 297677 impls, 11 clqs
(round 11, fast)       2433 del vars, 1916 del conss, 0 add conss, 371 chg bounds, 3609 chg sides, 8178 chg coeffs, 0 upgd conss, 297677 impls, 11 clqs
(round 12, fast)       2443 del vars, 1939 del conss, 0 add conss, 388 chg bounds, 3613 chg sides, 8227 chg coeffs, 0 upgd conss, 297677 impls, 11 clqs
(round 13, fast)       2445 del vars, 1946 del conss, 0 add conss, 396 chg bounds, 3614 chg sides, 8239 chg coeffs, 0 upgd conss, 297677 impls, 11 clqs
(round 14, fast)       2454 del vars, 1968 del conss, 0 add conss, 411 chg bounds, 3617 chg sides, 8287 chg coeffs, 0 upgd conss, 297677 impls, 11 clqs
   (26.2s) running MILP presolver
   (26.8s) MILP presolver (72 rounds): 0 aggregations, 640 fixings, 1279 bound changes
(round 15, medium)     3095 del vars, 10576 del conss, 6808 add conss, 1697 chg bounds, 3620 chg sides, 8310 chg coeffs, 0 upgd conss, 297677 impls, 11 clqs
(round 16, fast)       3134 del vars, 10618 del conss, 6808 add conss, 1708 chg bounds, 4084 chg sides, 9094 chg coeffs, 0 upgd conss, 297677 impls, 11 clqs
(round 17, fast)       3135 del vars, 10620 del conss, 6808 add conss, 1714 chg bounds, 4091 chg sides, 9122 chg coeffs, 0 upgd conss, 297677 impls, 11 clqs
(round 18, fast)       3139 del vars, 10628 del conss, 6808 add conss, 1723 chg bounds, 4107 chg sides, 9167 chg coeffs, 0 upgd conss, 297677 impls, 11 clqs
(round 19, exhaustive) 3139 del vars, 10635 del conss, 6808 add conss, 1735 chg bounds, 4122 chg sides, 9204 chg coeffs, 0 upgd conss, 297677 impls, 11 clqs
(round 20, exhaustive) 3141 del vars, 10643 del conss, 6808 add conss, 1749 chg bounds, 4133 chg sides, 9277 chg coeffs, 0 upgd conss, 297677 impls, 11 clqs
(round 21, fast)       3143 del vars, 10647 del conss, 6808 add conss, 1757 chg bounds, 4138 chg sides, 9300 chg coeffs, 0 upgd conss, 297677 impls, 11 clqs
(round 22, exhaustive) 3143 del vars, 10648 del conss, 6808 add conss, 1765 chg bounds, 4142 chg sides, 9337 chg coeffs, 74 upgd conss, 297677 impls, 11 clqs
(round 23, fast)       3144 del vars, 10651 del conss, 6808 add conss, 1770 chg bounds, 4146 chg sides, 9353 chg coeffs, 74 upgd conss, 297690 impls, 11 clqs
(round 24, exhaustive) 3145 del vars, 10656 del conss, 6808 add conss, 1779 chg bounds, 4149 chg sides, 9388 chg coeffs, 74 upgd conss, 297690 impls, 11 clqs
(round 25, fast)       3145 del vars, 10658 del conss, 6808 add conss, 1783 chg bounds, 4153 chg sides, 9409 chg coeffs, 74 upgd conss, 297690 impls, 11 clqs
(round 26, fast)       3146 del vars, 10660 del conss, 6808 add conss, 1788 chg bounds, 4157 chg sides, 9440 chg coeffs, 74 upgd conss, 297690 impls, 11 clqs
(round 27, exhaustive) 3148 del vars, 10664 del conss, 6808 add conss, 1798 chg bounds, 4161 chg sides, 9466 chg coeffs, 74 upgd conss, 297690 impls, 11 clqs
presolving (28 rounds: 28 fast, 7 medium, 6 exhaustive):
 3149 deleted vars, 10666 deleted constraints, 6808 added constraints, 1807 tightened bounds, 0 added holes, 4163 changed sides, 9493 changed coefficients
 297690 implications, 11 cliques
presolved problem has 3778 variables (2641 bin, 0 int, 0 impl, 1137 cont) and 6829 constraints
     61 constraints of type <varbound>
     11 constraints of type <setppc>
   6756 constraints of type <linear>
      1 constraints of type <logicor>
Presolving Time: 10.80
transformed 1/2 original solutions to the transformed problem space

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
 27.2s|     1 |     0 | 52241 |     - |  3318M |   0 |3778 |6805 |6804 |   0 |  0 |   6 |   0 | 4.143375e+03 | 4.178375e+03 |   0.84%| unknown
 27.2s|     1 |     0 | 52585 |     - |  3319M |   0 |3778 |6805 |7067 | 263 |  1 |   6 |   0 | 4.143375e+03 | 4.178375e+03 |   0.84%| unknown
 27.3s|     1 |     0 | 52804 |     - |  3320M |   0 |3778 |6805 |7272 | 468 |  2 |   6 |   0 | 4.143375e+03 | 4.178375e+03 |   0.84%| unknown
 27.4s|     1 |     0 | 52966 |     - |  3320M |   0 |3778 |6805 |7425 | 621 |  3 |   6 |   0 | 4.143375e+03 | 4.178375e+03 |   0.84%| unknown
 27.4s|     1 |     0 | 53006 |     - |  3321M |   0 |3778 |6805 |7456 | 652 |  4 |   6 |   0 | 4.143375e+03 | 4.178375e+03 |   0.84%| unknown
 27.5s|     1 |     0 | 53072 |     - |  3322M |   0 |3778 |6805 |7509 | 705 |  5 |   6 |   0 | 4.143375e+03 | 4.178375e+03 |   0.84%| unknown
 27.6s|     1 |     0 | 53097 |     - |  3323M |   0 |3778 |6805 |7531 | 727 |  6 |   6 |   0 | 4.143375e+03 | 4.178375e+03 |   0.84%| unknown
 27.7s|     1 |     0 | 53218 |     - |  3323M |   0 |3778 |6805 |7656 | 852 |  7 |   6 |   0 | 4.143375e+03 | 4.178375e+03 |   0.84%| unknown
 27.8s|     1 |     0 | 53276 |     - |  3324M |   0 |3778 |6805 |7712 | 908 |  8 |   6 |   0 | 4.143375e+03 | 4.178375e+03 |   0.84%| unknown
 27.9s|     1 |     0 | 53306 |     - |  3325M |   0 |3778 |6805 |7738 | 934 |  9 |   6 |   0 | 4.143375e+03 | 4.178375e+03 |   0.84%| unknown
 28.0s|     1 |     0 | 53349 |     - |  3326M |   0 |3778 |6805 |7778 | 974 | 10 |   6 |   0 | 4.143375e+03 | 4.178375e+03 |   0.84%| unknown
 28.1s|     1 |     0 | 53356 |     - |  3327M |   0 |3778 |6805 |7785 | 981 | 11 |   6 |   0 | 4.143375e+03 | 4.178375e+03 |   0.84%| unknown
 28.2s|     1 |     0 | 53361 |     - |  3327M |   0 |3778 |6805 |7789 | 985 | 12 |   6 |   0 | 4.143375e+03 | 4.178375e+03 |   0.84%| unknown
 28.2s|     1 |     0 | 53436 |     - |  3329M |   0 |3778 |6805 |7281 |1052 | 13 |   6 |   0 | 4.143375e+03 | 4.178375e+03 |   0.84%| unknown
d28.5s|     1 |     0 | 54321 |     - |conflict|   0 |3778 |6805 |7281 |   0 | 13 |   6 |   0 | 4.143375e+03 | 4.171875e+03 |   0.69%| unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
L28.7s|     1 |     0 | 54770 |     - |    rens|   0 |3778 |6805 |7281 |1052 | 13 |   6 |   0 | 4.143375e+03 | 4.143375e+03 |   0.00%| unknown
 28.7s|     1 |     0 | 54770 |     - |  3346M |   0 |3778 |6805 |7281 |1052 | 13 |   6 |   0 | 4.143375e+03 | 4.143375e+03 |   0.00%| unknown

SCIP Status        : problem is solved [optimal solution found]
Solving Time (sec) : 28.70
Solving Nodes      : 1 (total of 2 nodes in 2 runs)
Primal Bound       : +4.14337548625819e+03 (4 solutions)
Dual Bound         : +4.14337548625819e+03
Gap                : 0.00 %
Solve Status: optimal
Solve Time: 28.81 seconds
